,total_bill,tip,sex,smoker,day,time
0,16.99,1.01,Female,No,Sun,Dinner
1,10.34,1.66,Male,No,Sun,Dinner
2,21.01,3.5,Male,No,Sun,Dinner
3,23.68,3.31,Male,No,Sun,Dinner
4,24.59,3.61,Female,No,Sun,Dinner
5,25.29,4.71,Male,No,Sun,Dinner
6,8.77,2.0,Male,No,Sun,Dinner
7,26.88,3.12,Male,No,Sun,Dinner
8,15.04,1.96,Male,No,Sun,Dinner
9,14.78,3.23,Male,No,Sun,Dinner
10,10.27,1.71,Male,No,Sun,Dinner
11,35.26,5.0,Female,No,Sun,Dinner
12,15.42,1.57,Male,No,Sun,Dinner
13,18.43,3.0,Male,No,Sun,Dinner
14,14.83,3.02,Female,No,Sun,Dinner
15,21.58,3.92,Male,No,Sun,Dinner
16,10.33,1.67,Female,No,Sun,Dinner
17,16.29,3.71,Male,No,Sun,Dinner
18,16.97,3.5,Female,No,Sun,Dinner
19,20.65,3.35,Male,No,Sat,Dinner
20,17.92,4.08,Male,No,Sat,Dinner
21,20.29,2.75,Female,No,Sat,Dinner
22,15.77,2.23,Female,No,Sat,Dinner
23,39.42,7.58,Male,No,Sat,Dinner
24,19.82,3.18,Male,No,Sat,Dinner
25,17.81,2.34,Male,No,Sat,Dinner
26,13.37,2.0,Male,No,Sat,Dinner
27,12.69,2.0,Male,No,Sat,Dinner
28,21.7,4.3,Male,No,Sat,Dinner
29,19.65,3.0,Female,No,Sat,Dinner
30,9.55,1.45,Male,No,Sat,Dinner
31,18.35,2.5,Male,No,Sat,Dinner
32,15.06,3.0,Female,No,Sat,Dinner
33,20.69,2.45,Female,No,Sat,Dinner
34,17.78,3.27,Male,No,Sat,Dinner
35,24.06,3.6,Male,No,Sat,Dinner
36,16.31,2.0,Male,No,Sat,Dinner
37,16.93,3.07,Female,No,Sat,Dinner
38,18.69,2.31,Male,No,Sat,Dinner
39,31.27,5.0,Male,No,Sat,Dinner
40,16.04,2.24,Male,No,Sat,Dinner
41,17.46,2.54,Male,No,Sun,Dinner
42,13.94,3.06,Male,No,Sun,Dinner
43,9.68,1.32,Male,No,Sun,Dinner
44,30.4,5.6,Male,No,Sun,Dinner
45,18.29,3.0,Male,No,Sun,Dinner
46,22.23,5.0,Male,No,Sun,Dinner
47,32.4,6.0,Male,No,Sun,Dinner
48,28.55,2.05,Male,No,Sun,Dinner
49,18.04,3.0,Male,No,Sun,Dinner
50,12.54,2.5,Male,No,Sun,Dinner
51,10.29,2.6,Female,No,Sun,Dinner
52,34.81,5.2,Female,No,Sun,Dinner
53,9.94,1.56,Male,No,Sun,Dinner
54,25.56,4.34,Male,No,Sun,Dinner
55,19.49,3.51,Male,No,Sun,Dinner
56,38.01,3.0,Male,Yes,Sat,Dinner
57,26.41,1.5,Female,No,Sat,Dinner
58,11.24,1.76,Male,Yes,Sat,Dinner
59,48.27,6.73,Male,No,Sat,Dinner
60,20.29,3.21,Male,Yes,Sat,Dinner
61,13.81,2.0,Male,Yes,Sat,Dinner
62,11.02,1.98,Male,Yes,Sat,Dinner
63,18.29,3.76,Male,Yes,Sat,Dinner
64,17.59,2.64,Male,No,Sat,Dinner
65,20.08,3.15,Male,No,Sat,Dinner
66,16.45,2.47,Female,No,Sat,Dinner
67,3.07,1.0,Female,Yes,Sat,Dinner
68,20.23,2.01,Male,No,Sat,Dinner
69,15.01,2.09,Male,Yes,Sat,Dinner
70,12.02,1.97,Male,No,Sat,Dinner
71,17.07,3.0,Female,No,Sat,Dinner
72,26.86,3.14,Female,Yes,Sat,Dinner
73,25.28,5.0,Female,Yes,Sat,Dinner
74,14.73,2.2,Female,No,Sat,Dinner
75,10.51,1.25,Male,No,Sat,Dinner
76,17.92,3.08,Male,Yes,Sat,Dinner
77,27.2,4.0,Male,No,Thur,Lunch
78,22.76,3.0,Male,No,Thur,Lunch
79,17.29,2.71,Male,No,Thur,Lunch
80,19.44,3.0,Male,Yes,Thur,Lunch
81,16.66,3.4,Male,No,Thur,Lunch
82,10.07,1.83,Female,No,Thur,Lunch
83,32.68,5.0,Male,Yes,Thur,Lunch
84,15.98,2.03,Male,No,Thur,Lunch
85,34.83,5.17,Female,No,Thur,Lunch
86,13.03,2.0,Male,No,Thur,Lunch
87,18.28,4.0,Male,No,Thur,Lunch
88,24.71,5.85,Male,No,Thur,Lunch
89,21.16,3.0,Male,No,Thur,Lunch
90,28.97,3.0,Male,Yes,Fri,Dinner
91,22.49,3.5,Male,No,Fri,Dinner
92,5.75,1.0,Female,Yes,Fri,Dinner
93,16.32,4.3,Female,Yes,Fri,Dinner
94,22.75,3.25,Female,No,Fri,Dinner
95,40.17,4.73,Male,Yes,Fri,Dinner
96,27.28,4.0,Male,Yes,Fri,Dinner
97,12.03,1.5,Male,Yes,Fri,Dinner
98,21.01,3.0,Male,Yes,Fri,Dinner
99,12.46,1.5,Male,No,Fri,Dinner
100,11.35,2.5,Female,Yes,Fri,Dinner
101,15.38,3.0,Female,Yes,Fri,Dinner
102,44.3,2.5,Female,Yes,Sat,Dinner
103,22.42,3.48,Female,Yes,Sat,Dinner
104,20.92,4.08,Female,No,Sat,Dinner
105,15.36,1.64,Male,Yes,Sat,Dinner
106,20.49,4.06,Male,Yes,Sat,Dinner
107,25.21,4.29,Male,Yes,Sat,Dinner
108,18.24,3.76,Male,No,Sat,Dinner
109,14.31,4.0,Female,Yes,Sat,Dinner
110,14.0,3.0,Male,No,Sat,Dinner
111,7.25,1.0,Female,No,Sat,Dinner
112,38.07,4.0,Male,No,Sun,Dinner
113,23.95,2.55,Male,No,Sun,Dinner
114,25.71,4.0,Female,No,Sun,Dinner
115,17.31,3.5,Female,No,Sun,Dinner
116,29.93,5.07,Male,No,Sun,Dinner
117,10.65,1.5,Female,No,Thur,Lunch
118,12.43,1.8,Female,No,Thur,Lunch
119,24.08,2.92,Female,No,Thur,Lunch
120,11.69,2.31,Male,No,Thur,Lunch
121,13.42,1.68,Female,No,Thur,Lunch
122,14.26,2.5,Male,No,Thur,Lunch
123,15.95,2.0,Male,No,Thur,Lunch
124,12.48,2.52,Female,No,Thur,Lunch
125,29.8,4.2,Female,No,Thur,Lunch
126,8.52,1.48,Male,No,Thur,Lunch
127,14.52,2.0,Female,No,Thur,Lunch
128,11.38,2.0,Female,No,Thur,Lunch
129,22.82,2.18,Male,No,Thur,Lunch
130,19.08,1.5,Male,No,Thur,Lunch
131,20.27,2.83,Female,No,Thur,Lunch
132,11.17,1.5,Female,No,Thur,Lunch
133,12.26,2.0,Female,No,Thur,Lunch
134,18.26,3.25,Female,No,Thur,Lunch
135,8.51,1.25,Female,No,Thur,Lunch
136,10.33,2.0,Female,No,Thur,Lunch
137,14.15,2.0,Female,No,Thur,Lunch
138,16.0,2.0,Male,Yes,Thur,Lunch
139,13.16,2.75,Female,No,Thur,Lunch
140,17.47,3.5,Female,No,Thur,Lunch
141,34.3,6.7,Male,No,Thur,Lunch
142,41.19,5.0,Male,No,Thur,Lunch
143,27.05,5.0,Female,No,Thur,Lunch
144,16.43,2.3,Female,No,Thur,Lunch
145,8.35,1.5,Female,No,Thur,Lunch
146,18.64,1.36,Female,No,Thur,Lunch
147,11.87,1.63,Female,No,Thur,Lunch
148,9.78,1.73,Male,No,Thur,Lunch
149,7.51,2.0,Male,No,Thur,Lunch
150,14.07,2.5,Male,No,Sun,Dinner
151,13.13,2.0,Male,No,Sun,Dinner
152,17.26,2.74,Male,No,Sun,Dinner
153,24.55,2.0,Male,No,Sun,Dinner
154,19.77,2.0,Male,No,Sun,Dinner
155,29.85,5.14,Female,No,Sun,Dinner
156,48.17,5.0,Male,No,Sun,Dinner
157,25.0,3.75,Female,No,Sun,Dinner
158,13.39,2.61,Female,No,Sun,Dinner
159,16.49,2.0,Male,No,Sun,Dinner
160,21.5,3.5,Male,No,Sun,Dinner
161,12.66,2.5,Male,No,Sun,Dinner
162,16.21,2.0,Female,No,Sun,Dinner
163,13.81,2.0,Male,No,Sun,Dinner
164,17.51,3.0,Female,Yes,Sun,Dinner
165,24.52,3.48,Male,No,Sun,Dinner
166,20.76,2.24,Male,No,Sun,Dinner
167,31.71,4.5,Male,No,Sun,Dinner
168,10.59,1.61,Female,Yes,Sat,Dinner
169,10.63,2.0,Female,Yes,Sat,Dinner
170,50.81,10.0,Male,Yes,Sat,Dinner
171,15.81,3.16,Male,Yes,Sat,Dinner
172,7.25,5.15,Male,Yes,Sun,Dinner
173,31.85,3.18,Male,Yes,Sun,Dinner
174,16.82,4.0,Male,Yes,Sun,Dinner
175,32.9,3.11,Male,Yes,Sun,Dinner
176,17.89,2.0,Male,Yes,Sun,Dinner
177,14.48,2.0,Male,Yes,Sun,Dinner
178,9.6,4.0,Female,Yes,Sun,Dinner
179,34.63,3.55,Male,Yes,Sun,Dinner
180,34.65,3.68,Male,Yes,Sun,Dinner
181,23.33,5.65,Male,Yes,Sun,Dinner
182,45.35,3.5,Male,Yes,Sun,Dinner
183,23.17,6.5,Male,Yes,Sun,Dinner
184,40.55,3.0,Male,Yes,Sun,Dinner
185,20.69,5.0,Male,No,Sun,Dinner
186,20.9,3.5,Female,Yes,Sun,Dinner
187,30.46,2.0,Male,Yes,Sun,Dinner
188,18.15,3.5,Female,Yes,Sun,Dinner
189,23.1,4.0,Male,Yes,Sun,Dinner
190,15.69,1.5,Male,Yes,Sun,Dinner
191,19.81,4.19,Female,Yes,Thur,Lunch
192,28.44,2.56,Male,Yes,Thur,Lunch
193,15.48,2.02,Male,Yes,Thur,Lunch
194,16.58,4.0,Male,Yes,Thur,Lunch
195,7.56,1.44,Male,No,Thur,Lunch
196,10.34,2.0,Male,Yes,Thur,Lunch
197,43.11,5.0,Female,Yes,Thur,Lunch
198,13.0,2.0,Female,Yes,Thur,Lunch
199,13.51,2.0,Male,Yes,Thur,Lunch
200,18.71,4.0,Male,Yes,Thur,Lunch
201,12.74,2.01,Female,Yes,Thur,Lunch
202,13.0,2.0,Female,Yes,Thur,Lunch
203,16.4,2.5,Female,Yes,Thur,Lunch
204,20.53,4.0,Male,Yes,Thur,Lunch
205,16.47,3.23,Female,Yes,Thur,Lunch
206,26.59,3.41,Male,Yes,Sat,Dinner
207,38.73,3.0,Male,Yes,Sat,Dinner
208,24.27,2.03,Male,Yes,Sat,Dinner
209,12.76,2.23,Female,Yes,Sat,Dinner
210,30.06,2.0,Male,Yes,Sat,Dinner
211,25.89,5.16,Male,Yes,Sat,Dinner
212,48.33,9.0,Male,No,Sat,Dinner
213,13.27,2.5,Female,Yes,Sat,Dinner
214,28.17,6.5,Female,Yes,Sat,Dinner
215,12.9,1.1,Female,Yes,Sat,Dinner
216,28.15,3.0,Male,Yes,Sat,Dinner
217,11.59,1.5,Male,Yes,Sat,Dinner
218,7.74,1.44,Male,Yes,Sat,Dinner
219,30.14,3.09,Female,Yes,Sat,Dinner
220,12.16,2.2,Male,Yes,Fri,Lunch
221,13.42,3.48,Female,Yes,Fri,Lunch
222,8.58,1.92,Male,Yes,Fri,Lunch
223,15.98,3.0,Female,No,Fri,Lunch
224,13.42,1.58,Male,Yes,Fri,Lunch
225,16.27,2.5,Female,Yes,Fri,Lunch
226,10.09,2.0,Female,Yes,Fri,Lunch
227,20.45,3.0,Male,No,Sat,Dinner
228,13.28,2.72,Male,No,Sat,Dinner
229,22.12,2.88,Female,Yes,Sat,Dinner
230,24.01,2.0,Male,Yes,Sat,Dinner
231,15.69,3.0,Male,Yes,Sat,Dinner
232,11.61,3.39,Male,No,Sat,Dinner
233,10.77,1.47,Male,No,Sat,Dinner
234,15.53,3.0,Male,Yes,Sat,Dinner
235,10.07,1.25,Male,No,Sat,Dinner
236,12.6,1.0,Male,Yes,Sat,Dinner
237,32.83,1.17,Male,Yes,Sat,Dinner
238,35.83,4.67,Female,No,Sat,Dinner
239,29.03,5.92,Male,No,Sat,Dinner
240,27.18,2.0,Female,Yes,Sat,Dinner
241,22.67,2.0,Male,Yes,Sat,Dinner
242,17.82,1.75,Male,No,Sat,Dinner
243,18.78,3.0,Female,No,Thur,Dinner
